,18-162
LINC01409,0.18349177
NOC2L,0.12414018
PERM1,0.0016624164
ENSG00000272512,0.0084059145
HES4,0.08627785
ISG15,0.047708236
AGRN,0.32973674
RNF223,0.0026447577
C1orf159,0.15049332
TNFRSF18,0.0032460766
TNFRSF4,0.0045954306
SDF4,0.18030672
B3GALT6,0.021929726
UBE2J2,0.16234691
ACAP3,0.11500019
PUSL1,0.0076135714
INTS11,0.15263878
CPTP,0.036754847
DVL1,0.056637917
MXRA8,0.056057915
AURKAIP1,0.12616915
CCNL2,0.54296285
MRPL20,0.1423838
VWA1,0.103528775
ATAD3A,0.054332413
SSU72,0.16444658
SSU72-AS1,0.0043765283
FNDC10,0.016668767
ENSG00000272106,0.016982712
MIB2,0.12166679
MMP23B,0.01814468
CDK11B,0.15796246
SLC35E2B,0.15257981
CDK11A,0.10228172
SLC35E2A,0.13659443
NADK,0.13596475
GNB1,0.7959891
GABRD,0.0008249176
PRKCZ,0.2283229
FAAP20,0.13700502
SKI,0.32774326
RER1,0.21867499
PEX10,0.06655735
PANK4,0.02559837
HES5,0.00036311406
ENSG00000272449,0.007213646
TNFRSF14-AS1,0.013401107
TNFRSF14,0.16018094
PRXL2B,0.040295765
MMEL1,0.0029802101
PRDM16,0.586878
ENSG00000272235,0.00032975222
ARHGEF16,0.092136405
MEGF6,0.029330991
TPRG1L,0.06988579
WRAP73,0.06431178
SMIM1,0.0042265262
LRRC47,0.06801531
CEP104,0.23990372
DFFB,0.051366195
C1orf174,0.047916602
NPHP4,0.16069962
KCNAB2,0.068704955
RPL22,0.12983392
ICMT,0.08300177
ACOT7,0.04438846
TNFRSF25,0.04445313
PLEKHG5,0.049680714
NOL9,0.18926601
ZBTB48,0.07630009
KLHL21,0.077347755
PHF13,0.041829914
THAP3,0.041323636
DNAJC11,0.4354698
CAMTA1,0.7908726
VAMP3,0.08845485
PER3,0.44741124
PARK7,0.15348129
ERRFI1,0.60219055
RERE,1.9546187
ENO1,0.5141878
GPR157,0.06158601
MIR34AHG,0.1791624
H6PD,0.1735053
SPSB1,0.20299605
SLC25A33,0.2695059
PIK3CD,0.06199886
CLSTN1,0.3696987
CTNNBIP1,0.1835845
LZIC,0.107892506
NMNAT1,0.16551095
RBP7,0.04989728
UBE4B,0.5730419
KIF1B,0.79409504
PGD,0.09155254
CENPS,0.0
DFFA,0.1303312
PEX14,0.43067893
CASZ1,0.36901554
TARDBP,0.01525799
SRM,0.04554034
EXOSC10,0.19920485
MTOR,0.38623112
UBIAD1,0.053153917
FBXO2,0.032721635
FBXO44,0.078222975
FBXO6,0.00925107
MAD2L2,0.022342544
AGTRAP,0.07652346
C1orf167,0.0041574994
MTHFR,0.16726255
CLCN6,0.11308849
KIAA2013,0.09640076
PLOD1,0.08492265
MFN2,0.18000792
MIIP,0.02473764
TNFRSF1B,0.09080404
VPS13D,0.9885
DHRS3,0.38224056
