,3593
LINC01409,0.18285084
NOC2L,0.110308714
PERM1,0.0008914624
ENSG00000272512,0.0024650681
HES4,0.028725421
ISG15,0.03539076
AGRN,0.26277608
RNF223,0.0036101288
C1orf159,0.1904651
TNFRSF18,0.00054080534
TNFRSF4,0.004686215
SDF4,0.11811607
B3GALT6,0.01912529
UBE2J2,0.1465524
ACAP3,0.076706015
PUSL1,0.0056768255
INTS11,0.15457037
CPTP,0.025738383
DVL1,0.06243884
MXRA8,0.017984407
AURKAIP1,0.10409069
CCNL2,0.27197045
MRPL20,0.16866384
VWA1,0.07962557
ATAD3A,0.057281684
SSU72,0.16865121
SSU72-AS1,0.0042098477
FNDC10,0.0060629277
ENSG00000272106,0.010689412
MIB2,0.10557891
MMP23B,0.009905161
CDK11B,0.16576572
SLC35E2B,0.20000319
CDK11A,0.13234319
SLC35E2A,0.22345954
NADK,0.14382528
GNB1,0.80909747
GABRD,0.00014436741
PRKCZ,0.19758137
FAAP20,0.12020264
SKI,0.36003935
RER1,0.14328468
PEX10,0.05215061
PANK4,0.021099586
HES5,0.0010707834
ENSG00000272449,0.012940805
TNFRSF14-AS1,0.025847457
TNFRSF14,0.07904884
PRXL2B,0.039791808
MMEL1,0.0055944314
PRDM16,0.62854016
ENSG00000272235,0.0011658053
ARHGEF16,0.077261575
MEGF6,0.026414314
TPRG1L,0.0368248
WRAP73,0.04522562
SMIM1,0.0036716915
LRRC47,0.063290395
CEP104,0.17722367
DFFB,0.059102315
C1orf174,0.040329978
NPHP4,0.11949419
KCNAB2,0.037893362
RPL22,0.1454835
ICMT,0.081686355
ACOT7,0.044820394
TNFRSF25,0.030356854
PLEKHG5,0.049919695
NOL9,0.19792333
ZBTB48,0.06375669
KLHL21,0.10149868
PHF13,0.0469635
THAP3,0.039605804
DNAJC11,0.4952267
CAMTA1,0.79681885
VAMP3,0.049382504
PER3,0.11157077
PARK7,0.21342075
ERRFI1,0.17443544
RERE,2.1349897
ENO1,0.6284382
GPR157,0.10532608
MIR34AHG,0.17774563
H6PD,0.16388275
SPSB1,0.19218506
SLC25A33,0.3570881
PIK3CD,0.07817011
CLSTN1,0.47960746
CTNNBIP1,0.16025585
LZIC,0.12837066
NMNAT1,0.29930708
RBP7,0.05025896
UBE4B,0.6123857
KIF1B,0.74017376
PGD,0.0715178
CENPS,0.0
DFFA,0.14765042
PEX14,0.43811387
CASZ1,0.3509628
TARDBP,0.003183505
SRM,0.045952383
EXOSC10,0.1186404
MTOR,0.4121339
UBIAD1,0.07059014
FBXO2,0.106895834
FBXO44,0.082612604
FBXO6,0.017918697
MAD2L2,0.015360204
AGTRAP,0.052372273
C1orf167,0.0050904457
MTHFR,0.11805456
CLCN6,0.121761255
KIAA2013,0.09121795
PLOD1,0.09109231
MFN2,0.14320557
MIIP,0.022061989
TNFRSF1B,0.09133968
VPS13D,1.0137244
DHRS3,0.67219025
PDPN,0.004682772
PRDM2,0.5540593
KAZN,2.3206587
TMEM51,0.46856618
FHAD1,0.04189174
EFHD2,0.034707826
CASP9,0.09093205
DNAJC16,0.22765045
DDI2,0.3072723
PLEKHM2,0.21692494
SLC25A34,0.014209347
FBLIM1,0.2166641
SPEN-AS1,0.059922773
SPEN,0.706092
