,KRP446
LINC01409,0.12067216
NOC2L,0.08763594
PERM1,0.0014893977
ENSG00000272512,0.0045371363
HES4,0.021577232
ISG15,0.013807089
AGRN,0.17703134
RNF223,0.0010384476
C1orf159,0.14987072
TNFRSF18,0.00060093857
TNFRSF4,0.0012315981
SDF4,0.09740619
B3GALT6,0.009585927
UBE2J2,0.16393363
ACAP3,0.11993821
PUSL1,0.00615702
INTS11,0.1552038
CPTP,0.02080181
DVL1,0.06486995
MXRA8,0.017066501
AURKAIP1,0.07650256
CCNL2,0.39355347
MRPL20,0.10291945
VWA1,0.030235961
ATAD3A,0.054207306
SSU72,0.11586298
SSU72-AS1,0.0051466273
FNDC10,0.008386245
ENSG00000272106,0.008530948
MIB2,0.107360184
MMP23B,0.0021681332
CDK11B,0.14550601
SLC35E2B,0.10803989
CDK11A,0.06750549
SLC35E2A,0.110610574
NADK,0.106405705
GNB1,0.80191714
GABRD,0.0007416199
PRKCZ,0.41455805
FAAP20,0.0854832
SKI,0.26183307
RER1,0.12861395
PEX10,0.03824449
PANK4,0.017511096
HES5,0.0
ENSG00000272449,0.0052269716
TNFRSF14-AS1,0.026881702
TNFRSF14,0.26408973
PRXL2B,0.018297393
MMEL1,0.0009078349
PRDM16,0.44671085
ENSG00000272235,0.00022466545
ARHGEF16,0.10462062
MEGF6,0.030428626
TPRG1L,0.040362738
WRAP73,0.029479586
SMIM1,0.0051698876
LRRC47,0.061929833
CEP104,0.21303274
DFFB,0.06032652
C1orf174,0.03655736
NPHP4,0.13596947
KCNAB2,0.15715058
RPL22,0.08756205
ICMT,0.04135554
ACOT7,0.05500101
TNFRSF25,0.018213443
PLEKHG5,0.024585288
NOL9,0.1711026
ZBTB48,0.10324272
KLHL21,0.06882804
PHF13,0.044831187
THAP3,0.036615137
DNAJC11,0.3738909
CAMTA1,0.84184223
VAMP3,0.05682874
PER3,0.32550618
PARK7,0.11463211
ERRFI1,1.4000982
RERE,1.8670957
ENO1,0.2859583
GPR157,0.088286854
MIR34AHG,0.0320645
H6PD,0.16290085
SPSB1,0.31621775
SLC25A33,0.47215316
PIK3CD,0.09856051
CLSTN1,0.33626395
CTNNBIP1,0.22167167
LZIC,0.08953262
NMNAT1,0.18454093
RBP7,0.010186179
UBE4B,0.60231614
KIF1B,0.8713965
PGD,0.071377985
CENPS,0.0
DFFA,0.13999996
PEX14,0.42628306
CASZ1,0.33827356
TARDBP,0.002467772
SRM,0.022620954
EXOSC10,0.118660845
MTOR,0.29010212
UBIAD1,0.03810209
FBXO2,0.013344645
FBXO44,0.06925299
FBXO6,0.012937975
MAD2L2,0.021963323
AGTRAP,0.06257641
C1orf167,0.0045972727
MTHFR,0.24685736
CLCN6,0.14667429
