,PRE018-1
LINC01409,0.0035315424
NOC2L,0.14934193
PERM1,0.0058161765
ENSG00000272512,0.0052099363
HES4,0.37344313
ISG15,0.13614921
AGRN,0.22902314
RNF223,0.0059729037
C1orf159,0.00847952
TNFRSF18,0.020878095
TNFRSF4,0.026748559
SDF4,0.20918714
B3GALT6,0.061057005
UBE2J2,0.13799648
ACAP3,0.066860005
PUSL1,0.036440533
INTS11,0.13452537
CPTP,0.08223944
DVL1,0.11892618
MXRA8,0.055518765
AURKAIP1,0.9885137
CCNL2,0.18678069
MRPL20,0.7059375
VWA1,0.16971676
ATAD3A,0.06242751
SSU72,0.5828199
SSU72-AS1,0.002246946
FNDC10,0.023989024
ENSG00000272106,0.04800419
MIB2,0.14299354
MMP23B,0.0
CDK11B,0.087697595
SLC35E2B,0.016409384
CDK11A,0.019693803
SLC35E2A,0.00952732
NADK,0.10268654
GNB1,0.38575923
GABRD,0.0
PRKCZ,0.057734217
FAAP20,0.3609981
SKI,0.12046948
RER1,0.5561767
PEX10,0.0902082
PANK4,0.031566106
HES5,0.0
ENSG00000272449,0.043341924
TNFRSF14-AS1,0.026030254
TNFRSF14,0.13232775
PRXL2B,0.043392565
MMEL1,0.005043322
PRDM16,0.06968942
ENSG00000272235,0.0
ARHGEF16,0.052693143
MEGF6,0.016349122
TPRG1L,0.11649848
WRAP73,0.04789171
SMIM1,0.11940536
LRRC47,0.08698237
CEP104,0.104199976
DFFB,0.006958211
C1orf174,0.096030764
NPHP4,0.017631317
KCNAB2,0.048182607
RPL22,1.2679256
ICMT,0.11202867
ACOT7,0.12017387
TNFRSF25,0.02727852
PLEKHG5,0.00775578
NOL9,0.07498717
ZBTB48,0.04762053
KLHL21,0.08795615
PHF13,0.06406573
THAP3,0.050074924
DNAJC11,0.11946814
CAMTA1,0.75628567
VAMP3,0.20237668
PER3,0.070947334
PARK7,0.9349793
ERRFI1,0.39033526
RERE,0.24766402
ENO1,1.2180619
GPR157,0.01581243
MIR34AHG,0.0026159193
H6PD,0.06593719
SPSB1,0.06557844
SLC25A33,0.20175162
PIK3CD,0.024758665
CLSTN1,0.29500914
CTNNBIP1,0.07835115
LZIC,0.10228583
NMNAT1,0.046429556
RBP7,0.10393123
UBE4B,0.073884614
KIF1B,0.10939269
PGD,0.11071439
CENPS,0.0512792
DFFA,0.11702249
PEX14,0.04156933
CASZ1,0.06843074
TARDBP,0.21896568
SRM,0.1806464
EXOSC10,0.057747796
MTOR,0.04071949
UBIAD1,0.056492247
FBXO2,0.13642305
FBXO44,0.09045713
FBXO6,0.031817377
MAD2L2,0.1114607
AGTRAP,0.17163101
C1orf167,0.0063698823
MTHFR,0.06874127
CLCN6,0.04690637
KIAA2013,0.15938725
PLOD1,0.06564584
MFN2,0.15220085
MIIP,0.043511778
TNFRSF1B,0.054000705
VPS13D,0.13859203
DHRS3,0.2345993
PDPN,0.014598512
PRDM2,0.11596493
KAZN,0.10678934
TMEM51,0.18087074
FHAD1,0.0033736129
EFHD2,0.15031767
CASP9,0.04687646
DNAJC16,0.09174649
DDI2,0.06444622
PLEKHM2,0.101409666
SLC25A34,0.01114355
FBLIM1,0.03429492
SPEN-AS1,0.03427113
SPEN,0.19556575
ZBTB17,0.04274513
SRARP,0.038499054
HSPB7,0.015673604
EPHA2,0.21021648
CPLANE2,0.0022467512
FBXO42,0.05257142
SZRD1,0.16832861
NECAP2,0.14890602
NBPF1,0.029231237
CROCC,0.024286747
ENSG00000238142,0.074610755
MFAP2,0.0063963975
ATP13A2,0.052363835
SDHB,0.31424946
PADI2,0.03125475
PADI4,0.0
RCC2,0.10291973
ARHGEF10L,0.068193555
IGSF21,0.0
ALDH4A1,0.33210486
IFFO2,0.013942988
UBR4,0.061004933
EMC1,0.06658765
MRTO4,0.087695844
AKR7A3,0.15113086
AKR7A2,0.41856512
SLC66A1,0.051620107
CAPZB,0.5057594
MICOS10,1.224826
NBL1,0.19739595
TMCO4,0.0445764
OTUD3,0.04099523
PLA2G5,0.004700918
CAMK2N1,0.7366994
MUL1,0.13002388
CDA,0.13521764
PINK1,0.31657547
PINK1-AS,0.0016978584
DDOST,0.23664907
KIF17,0.0077570355
HP1BP3,0.5079018
EIF4G3,0.14532189
ECE1,0.1677376
NBPF3,0.0066980678
ALPL,0.038233582
USP48,0.1026986
HSPG2,0.30604956
CDC42,0.93848366
WNT4,0.002988084
ZBTB40,0.033484466
C1QA,0.051577
C1QC,0.04951283
C1QB,0.046701144
EPHB2,0.01857133
KDM1A,0.09289655
LUZP1,0.13679186
HNRNPR,0.3251184
ZNF436,0.01580506
TCEA3,0.21879454
ASAP3,0.036892183
ID3,0.29147652
RPL11,2.7308996
ELOA,0.07904606
PITHD1,0.19815966
LYPLA2,0.21774712
GALE,0.11437752
HMGCL,0.20413302
FUCA1,0.22970226
PNRC2,0.44212216
SRSF10,0.51369846
STPG1,0.03097362
NIPAL3,0.06556298
RCAN3,0.07172181
SRRM1,0.53929883
CLIC4,0.28787667
RUNX3,0.029422015
SYF2,0.4116213
RSRP1,0.5732379
TMEM50A,0.535485
MACO1,0.121644475
LDLRAP1,0.046611913
MAN1C1,0.08258529
ENSG00000233478,0.0
SELENON,0.15991718
MTFR1L,0.22687903
PAQR7,0.14724971
STMN1,0.37468755
PAFAH2,0.045474906
PDIK1L,0.030740708
FAM110D,0.07181548
ZNF593OS,0.0020516873
ZNF593,0.56166613
CEP85,0.02063034
SH3BGRL3,0.75311357
UBXN11,0.070019744
CD52,0.10210056
DHDDS,0.075797155
HMGN2,0.7809582
RPS6KA1,0.06858362
ARID1A,0.16810776
PIGV,0.03890181
ZDHHC18,0.0304142
SFN,0.05816383
GPN2,0.04437601
GPATCH3,0.03372849
NUDC,0.39164266
KDF1,0.046165384
TRNP1,0.057369467
SLC9A1,0.041127063
WDTC1,0.09137783
TMEM222,0.1330767
SYTL1,0.020023972
MAP3K6,0.10401625
FCN3,0.14606111
CD164L2,0.0029956205
WASF2,0.33665308
AHDC1,0.065295465
FGR,0.03272283
IFI6,0.16196375
FAM76A,0.062905945
STX12,0.23470226
PPP1R8,0.07376786
THEMIS2,0.04118007
RPA2,0.11235311
XKR8,0.015208132
EYA3,0.15075694
PTAFR,0.010387264
DNAJC8,0.37569958
ATP5IF1,1.4047009
ENSG00000270605,0.0127937775
MED18,0.014227522
PHACTR4,0.15039757
RCC1,0.009253221
TRNAU1AP,0.10768416
SNHG12,0.09123058
TAF12,0.14400667
RAB42,0.0017421308
GMEB1,0.04125391
YTHDF2,0.217512
EPB41,0.078511916
TMEM200B,0.0057567554
SRSF4,0.27052838
MECR,0.082520075
PTPRU,0.015455405
LAPTM5,0.12162267
SDC3,0.038275316
PUM1,0.22397994
NKAIN1,0.0
SNRNP40,0.14900722
ZCCHC17,0.108515084
FABP3,0.32160833
SERINC2,0.28475094
TINAGL1,0.41515848
PEF1,0.21684514
COL16A1,0.02073694
PTP4A2,0.6496002
KHDRBS1,0.4493389
TMEM39B,0.03181412
KPNA6,0.1518082
TXLNA,0.12505259
CCDC28B,0.046044916
IQCC,0.0041183704
TMEM234,0.056699328
EIF3I,0.38904765
FAM167B,0.07339022
LCK,0.046164624
HDAC1,0.18811433
MARCKSL1,0.18222411
FAM229A,0.083323605
BSDC1,0.12629648
ZBTB8A,0.030436229
ZBTB8OS,0.2361943
RBBP4,0.24818143
SYNC,0.032303326
NHSL3,0.139587
YARS1,0.05780991
S100PBP,0.04476063
TMEM54,0.09081439
RNF19B,0.07100265
AK2,0.3796567
ZNF362,0.049320884
PHC2,0.34093118
SMIM12,0.24286947
GJA4,0.05583548
ENSG00000284773,0.004753439
ZMYM6,0.07213929
ZMYM1,0.060860552
SFPQ,0.80416095
ZMYM4,0.11924248
KIAA0319L,0.14507839
TFAP2E-AS1,0.0037749168
PSMB2,0.44935587
C1orf216,0.016049039
CLSPN,0.0
AGO4,0.05439085
AGO1,0.053040497
AGO3,0.14398429
ADPRS,0.15311073
COL8A2,0.0025363127
TRAPPC3,0.18149208
MAP7D1,0.15472995
THRAP3,0.31624675
SH3D21,0.013000602
EVA1B,0.18907587
STK40,0.09879238
LSM10,0.18723439
OSCP1,0.03149194
MRPS15,0.35165843
CSF3R,0.0064500654
LITATS1,0.032159768
ZC3H12A,0.117338955
MEAF6,0.37130618
SNIP1,0.0629708
DNALI1,0.083919145
GNL2,0.0549819
AIRIM,0.040948953
CDCA8,0.0
YRDC,0.11110384
C1orf122,0.4358905
MTF1,0.04132564
INPP5B,0.021085544
SF3A3,0.13909058
FHL3,0.050221168
UTP11,0.10266169
RRAGC,0.08220613
MYCBP,0.04267393
RHBDL2,0.0006295425
AKIRIN1,0.3961064
NDUFS5,1.2949513
MACF1,0.40178314
PABPC4,0.28586534
HEYL,0.0143083725
PPIE,0.13463627
TRIT1,0.03037451
MFSD2A,0.015924506
CAP1,0.4109967
PPT1,0.27754232
RLF,0.1299144
ZMPSTE24-DT,0.056550946
ZMPSTE24,0.172806
COL9A2,0.094716825
SMAP2,0.11559943
ZNF684,0.04659063
RIMS3,0.0021906276
NFYC,0.08826541
CITED4,0.17045501
CTPS1,0.031196699
SCMH1,0.078882046
HIVEP3,0.022554984
FOXJ3,0.09304289
PPCS,0.34524366
CCDC30,0.034046832
PPIH,0.12569466
YBX1,1.1144773
P3H1,0.024843652
C1orf50,0.031113828
SVBP,0.16130717
ERMAP,0.015080969
ZNF691,0.021043986
SLC2A1,0.07554984
CFAP144,0.005378928
EBNA1BP2,0.20427811
TMEM125,0.0301116
C1orf210,0.07239734
TIE1,0.06816843
ELOVL1,0.12183289
MED8,0.122268684
SZT2,0.033377387
HYI,0.29590172
PTPRF,0.2163056
KDM4A,0.028266076
ST3GAL3,0.026681919
ARTN,0.014529542
IPO13,0.061161716
DPH2,0.03147973
ATP6V0B,1.1934688
B4GALT2,0.058539275
CCDC24,0.047240503
SLC6A9,0.0033975467
DMAP1,0.17151277
ERI3,0.23060086
RNF220,0.090442814
TMEM53,0.07145949
KIF2C,0.0063441317
RPS8,2.280258
PLK3,0.14756769
BTBD19,0.011476244
EIF2B3,0.05928331
HECTD3,0.03615812
UROD,0.12313788
MUTYH,0.03777724
TOE1,0.051720895
PRDX1,1.5529958
AKR1A1,0.42520377
NASP,0.28962895
CCDC17,0.009699337
GPBP1L1,0.24176843
TMEM69,0.050882984
IPP,0.042464253
MAST2,0.028889008
PIK3R3,0.10475752
TSPAN1,0.338033
POMGNT1,0.113636635
LURAP1,0.039185178
LRRC41,0.15793979
UQCRH,1.5478542
NSUN4,0.031885713
FAAH,0.06401657
MKNK1,0.07872733
MOB3C,0.054812055
ATPAF1,0.15744829
EFCAB14,0.37692544
CYP4B1,0.0021509961
TAL1,0.03601338
CMPK1,0.33094636
TRABD2B,0.08073754
SPATA6,0.071605
ELAVL4,0.0
FAF1,0.089671806
CDKN2C,0.032813706
RNF11,0.21823642
EPS15,0.17022805
OSBPL9,0.2210026
NRDC,0.21610259
TXNDC12,0.19123074
KTI12,0.043135457
BTF3L4,0.34884515
ZFYVE9,0.041223835
CC2D1B,0.039213404
PRPF38A,0.19031064
TUT4,0.22497076
GPX7,0.030814547
SHISAL2A,0.006132642
COA7,0.035676375
ZYG11B,0.122301556
ECHDC2,0.4738407
SCP2,0.7613106
PODN,0.019335227
CPT2,0.061513722
CZIB,0.2565103
MAGOH,0.41954574
LRP8,0.009649717
NDC1,0.032999527
YIPF1,0.066215046
IFT25,0.34584028
LRRC42,0.089547314
TMEM59,1.2990073
TCEANC2,0.011389189
CYB5RL,0.013286706
MRPL37,0.17606013
SSBP3,0.22546767
ACOT11,0.0610848
TTC4,0.011852784
DHCR24,0.102168955
TMEM61,0.14370118
USP24,0.11083796
PLPP3,0.3768146
OMA1,0.114826374
TACSTD2,0.5685931
MYSM1,0.12970334
JUN,1.2006679
FGGY,0.06953705
NFIA,0.26317444
NFIA-AS2,0.0
TM2D1,0.33435345
PATJ,0.24132133
USP1,0.14858915
DOCK7,0.08494889
ANGPTL3,0.11065721
ATG4C,0.03933036
ALG6,0.039054044
ITGB3BP,0.17576326
EFCAB7,0.028506638
PGM1,0.13321203
CACHD1,0.03294417
JAK1,0.4089895
AK4,0.23011614
DNAJC6,0.022447761
LEPROT,0.46300793
LEPR,0.035013776
PDE4B,0.02671974
SGIP1,0.061953712
MIER1,0.2341279
SERBP1,0.58986187
GADD45A,0.7777109
GNG12,0.31483775
WLS,0.2561266
LRRC40,0.071781
SRSF11,0.53620607
ANKRD13C,0.062379222
ZRANB2,0.29446453
FPGT,0.046634603
FPGT-TNNI3K,0.0017428322
CRYZ,0.36766848
TYW3,0.15375915
ACADM,0.5562985
RABGGTB,0.21774088
ST6GALNAC3,0.024229147
PIGK,0.11728384
ZZZ3,0.09976228
USP33,0.18459842
MIGA1,0.13647692
NEXN,0.06812656
FUBP1,0.18574952
DNAJB4,0.23656018
GIPC2,0.14994882
ENSG00000273338,0.038199127
IFI44L,0.04864402
IFI44,0.054218847
ADGRL4,0.13913259
ADGRL2,0.18382634
TTLL7,0.043783348
PRKACB,0.12987113
RPF1,0.123017825
GNG5,1.1484637
SPATA1,0.030829448
CTBS,0.17936154
SSX2IP,0.075152256
C1orf52,0.12983246
BCL10,0.23212847
DDAH1,0.33314532
CCN1,0.27529418
ZNHIT6,0.061558023
ODF2L,0.1841974
SH3GLB1,0.2951898
SELENOF,0.5200556
HS2ST1,0.0721776
LMO4,0.13964401
PKN2,0.29079568
GTF2B,0.16619985
KYAT3,0.06855571
RBMXL1,0.105035976
GBP3,0.09763002
GBP1,0.06958894
GBP2,0.07025619
GBP4,0.10272331
GBP5,0.010361602
LRRC8B,0.046103224
LRRC8C-DT,0.013865156
LRRC8C,0.0600374
LRRC8D,0.053502146
ZNF326,0.11597206
ZNF644,0.27905512
TGFBR3,0.11465471
BTBD8,0.021195056
GLMN,0.041248836
RPAP2,0.11444237
EVI5,0.14799571
RPL5,1.8997405
DIPK1A,0.012530068
MTF2,0.102010414
TMED5,0.25669548
CCDC18,0.010784301
DR1,0.14204858
FNBP1L,0.24327868
BCAR3,0.034302272
DNTTIP2,0.21437955
GCLM,0.15832824
ARHGAP29,0.47159746
ABCD3,0.21753378
F3,0.0957049
CNN3,0.83481574
ALG14,0.08465759
TLCD4,0.048901092
PTBP2,0.09537155
DPYD,0.06892656
SNX7,0.10270739
PALMD,0.07210929
AGL,0.18220669
SLC35A3,0.12734073
MFSD14A,0.009638559
TRMT13,0.06864267
DBT,0.14019482
RTCA-AS1,0.01259754
RTCA,0.13873634
CDC14A,0.036816213
VCAM1,0.17184171
EXTL2,0.064007424
SLC30A7,0.10712185
DPH5,0.051622253
DPH5-DT,0.02344751
S1PR1,0.098807216
RNPC3,0.22958824
PRMT6,0.04700874
VAV3,0.24592625
SLC25A24,0.104228884
EEIG2,0.021857563
HENMT1,0.01697175
PRPF38B,0.27972612
STXBP3,0.17355093
GPSM2,0.0132755665
CLCC1,0.06570506
WDR47,0.041215744
TAF13,0.13090843
TMEM167B,0.116577044
SARS1,0.21476004
CELSR2,0.067691654
PSRC1,0.00041877167
SORT1,0.15882379
PSMA5,0.34136176
CYB561D1,0.01036916
AMIGO1,0.018001443
GNAI3,0.24438976
AMPD2,0.061673008
GSTM4,0.12785012
GSTM1,0.0025044647
GSTM5,0.013252426
GSTM3,0.6905707
CSF1,0.029314028
AHCYL1,0.5096026
STRIP1,0.04649672
KCNC4,0.10253302
RBM15,0.049794305
SLC16A4,0.23943107
LAMTOR5,0.99444366
CD53,0.082503624
LRIF1,0.08315649
DRAM2,0.1871551
CEPT1,0.082428
ENSG00000273221,0.005793303
DENND2D,0.07925252
WDR77,0.04694454
ATP5PB,0.61606646
C1orf162,0.04863382
TMIGD3,0.0047049862
ADORA3,0.0
RAP1A,0.30729127
DDX20,0.06261529
CTTNBP2NL,0.10529461
WNT2B,0.009270176
ST7L,0.085048996
CAPZA1,0.28187823
MOV10,0.05355609
RHOC,0.557714
PPM1J,0.0020177918
SLC16A1,0.023458205
SLC16A1-AS1,0.014362853
LRIG2,0.044044554
MAGI3,0.07890024
PHTF1,0.051414974
