,PRE038
LINC01409,0.004802951
NOC2L,0.08138611
PERM1,0.0036501226
ENSG00000272512,0.0066854903
HES4,0.22720116
ISG15,0.12111035
AGRN,0.09179533
RNF223,0.0
C1orf159,0.013627665
TNFRSF18,0.0040474585
TNFRSF4,0.025032923
SDF4,0.23146278
B3GALT6,0.0499929
UBE2J2,0.14836267
ACAP3,0.066548005
PUSL1,0.03467968
INTS11,0.12216874
CPTP,0.06644114
DVL1,0.077755615
MXRA8,0.026307886
AURKAIP1,1.0490962
CCNL2,0.16249785
MRPL20,0.6165769
VWA1,0.13268992
ATAD3A,0.043789495
SSU72,0.5342504
SSU72-AS1,0.0033362575
FNDC10,0.0074798795
ENSG00000272106,0.03504865
MIB2,0.119982086
MMP23B,0.0003318435
CDK11B,0.046187874
SLC35E2B,0.029643215
CDK11A,0.01594684
SLC35E2A,0.02398612
NADK,0.05763455
GNB1,0.3658081
GABRD,0.0
PRKCZ,0.087713316
FAAP20,0.4346261
SKI,0.08266935
RER1,0.3403111
PEX10,0.06986746
PANK4,0.016279712
HES5,0.0
ENSG00000272449,0.03992776
TNFRSF14-AS1,0.016858403
TNFRSF14,0.23118682
PRXL2B,0.06795905
MMEL1,0.007721933
PRDM16,0.02817365
ENSG00000272235,0.0
ARHGEF16,0.031018972
MEGF6,0.011003802
TPRG1L,0.23711509
WRAP73,0.027897647
SMIM1,0.20039092
LRRC47,0.099427626
CEP104,0.08976195
DFFB,0.012817707
C1orf174,0.05317215
NPHP4,0.012943215
KCNAB2,0.094402194
RPL22,1.1110076
ICMT,0.12886137
ACOT7,0.43398735
TNFRSF25,0.01150715
PLEKHG5,0.009256763
NOL9,0.058371305
ZBTB48,0.038507815
KLHL21,0.07209188
PHF13,0.021244247
THAP3,0.06440139
DNAJC11,0.12438827
CAMTA1,0.8639807
VAMP3,0.27208725
PER3,0.14075981
PARK7,0.86452305
ERRFI1,0.7607424
RERE,0.23524639
ENO1,1.0321219
GPR157,0.0139776
MIR34AHG,0.0
H6PD,0.06545935
SPSB1,0.07161554
SLC25A33,0.17033994
PIK3CD,0.026249511
CLSTN1,0.2651449
CTNNBIP1,0.08628975
LZIC,0.09967577
NMNAT1,0.0301919
RBP7,0.08479065
UBE4B,0.103368975
KIF1B,0.14202398
PGD,0.08072116
CENPS,0.057383843
DFFA,0.1358874
PEX14,0.031050202
CASZ1,0.02536402
TARDBP,0.15945043
SRM,0.14873089
EXOSC10,0.04386259
MTOR,0.04149424
UBIAD1,0.03785217
FBXO2,0.04326633
FBXO44,0.08997995
FBXO6,0.029166004
MAD2L2,0.05919459
AGTRAP,0.25423518
C1orf167,0.010544755
MTHFR,0.10686231
CLCN6,0.049571376
KIAA2013,0.217319
PLOD1,0.124570616
MFN2,0.12789351
MIIP,0.03812476
TNFRSF1B,0.03135912
VPS13D,0.104782775
DHRS3,0.5301516
PDPN,0.0023151936
PRDM2,0.07421798
KAZN,0.06354192
TMEM51,0.050735515
FHAD1,0.008184607
EFHD2,0.12835765
CASP9,0.0321444
DNAJC16,0.089429416
DDI2,0.10482573
PLEKHM2,0.086095035
SLC25A34,0.022571037
FBLIM1,0.020248622
SPEN-AS1,0.024277952
SPEN,0.14261599
ZBTB17,0.040789887
SRARP,0.0013400086
HSPB7,0.030120617
EPHA2,0.017822117
CPLANE2,0.0070777694
FBXO42,0.045313016
SZRD1,0.14385602
NECAP2,0.07536141
NBPF1,0.02754671
CROCC,0.020036366
ENSG00000238142,0.07823238
MFAP2,0.0005503914
ATP13A2,0.04946282
SDHB,0.35278922
PADI2,0.008110098
PADI4,0.0
RCC2,0.046558555
ARHGEF10L,0.083587736
IGSF21,0.0020032057
ALDH4A1,0.958036
IFFO2,0.0094622765
UBR4,0.039380938
EMC1,0.047862615
MRTO4,0.053286918
AKR7A3,0.3163065
AKR7A2,0.6167566
SLC66A1,0.04494473
CAPZB,0.37424737
MICOS10,0.8265824
NBL1,0.041252665
TMCO4,0.03423856
OTUD3,0.027278842
PLA2G5,0.0018810012
CAMK2N1,0.51558805
MUL1,0.043625176
CDA,0.034642983
PINK1,0.30854458
PINK1-AS,0.0032088796
DDOST,0.1312615
KIF17,0.007014774
HP1BP3,0.39992514
EIF4G3,0.08017075
ECE1,0.17867532
NBPF3,0.0015450837
ALPL,0.18528433
USP48,0.10185172
HSPG2,0.24337168
CDC42,0.8285443
WNT4,0.0
ZBTB40,0.030962614
C1QA,0.024433108
C1QC,0.018614313
C1QB,0.023102248
EPHB2,0.0037990434
KDM1A,0.088118285
LUZP1,0.09505682
HNRNPR,0.25167125
ZNF436,0.010854568
TCEA3,0.27326512
ASAP3,0.028056365
ID3,0.30848178
RPL11,2.5441275
ELOA,0.057727005
PITHD1,0.13755354
LYPLA2,0.1966309
GALE,0.099477515
HMGCL,0.3896157
FUCA1,0.124361776
PNRC2,0.25798312
SRSF10,0.30769295
