,PRE98sc
LINC01409,0.0044238907
NOC2L,0.09235809
PERM1,0.004407914
ENSG00000272512,0.0133493915
HES4,0.28116924
ISG15,0.13343602
AGRN,0.22112986
RNF223,0.0042786393
C1orf159,0.026159588
TNFRSF18,0.008746581
TNFRSF4,0.00864244
SDF4,0.24321005
B3GALT6,0.042808563
UBE2J2,0.11914599
ACAP3,0.08237131
PUSL1,0.034420617
INTS11,0.15375555
CPTP,0.09513426
DVL1,0.08894353
MXRA8,0.018382242
AURKAIP1,0.8622358
CCNL2,0.17771928
MRPL20,0.54677594
VWA1,0.14885432
ATAD3A,0.057381373
SSU72,0.40969908
SSU72-AS1,0.0034220894
FNDC10,0.042036306
ENSG00000272106,0.051173963
MIB2,0.14722525
MMP23B,0.0
CDK11B,0.083331846
SLC35E2B,0.017507166
CDK11A,0.013203806
SLC35E2A,0.024523461
NADK,0.05263244
GNB1,0.34660894
GABRD,0.0
PRKCZ,0.07568256
FAAP20,0.44864115
SKI,0.084049396
RER1,0.3996058
PEX10,0.068682924
PANK4,0.020837897
HES5,0.0
ENSG00000272449,0.036920454
TNFRSF14-AS1,0.034230288
TNFRSF14,0.10746017
PRXL2B,0.04159086
MMEL1,0.008149335
PRDM16,0.07244402
ENSG00000272235,0.0
ARHGEF16,0.0598387
MEGF6,0.012742179
TPRG1L,0.12918553
WRAP73,0.03494326
SMIM1,0.14519916
LRRC47,0.092636175
CEP104,0.08726071
DFFB,0.013403818
C1orf174,0.07325817
NPHP4,0.011993022
KCNAB2,0.023783527
RPL22,1.4295362
ICMT,0.101004094
ACOT7,0.11922487
TNFRSF25,0.011897986
PLEKHG5,0.0072087813
NOL9,0.04733558
ZBTB48,0.05080193
KLHL21,0.049124233
PHF13,0.028458098
THAP3,0.04902217
DNAJC11,0.12555735
CAMTA1,0.69890213
VAMP3,0.15165713
PER3,0.07381595
PARK7,0.61710477
ERRFI1,0.2858753
RERE,0.23889562
ENO1,1.0327144
GPR157,0.02570576
MIR34AHG,0.0
H6PD,0.06625389
SPSB1,0.016164213
SLC25A33,0.15130763
PIK3CD,0.028447157
CLSTN1,0.26103222
CTNNBIP1,0.06890452
LZIC,0.07327585
NMNAT1,0.051213905
RBP7,0.08895952
UBE4B,0.09066551
KIF1B,0.11800396
PGD,0.18028931
CENPS,0.0267899
DFFA,0.08188633
PEX14,0.04226908
