,Sample1162-EO2
LINC01409,0.016857482
NOC2L,0.102456085
PERM1,0.007822289
ENSG00000272512,0.018425016
HES4,0.36323896
ISG15,0.13295852
AGRN,0.3147867
RNF223,0.0018571296
C1orf159,0.020917265
TNFRSF18,0.00029107652
TNFRSF4,0.013082065
SDF4,0.2620823
B3GALT6,0.055707317
UBE2J2,0.17843461
ACAP3,0.053020597
PUSL1,0.037614815
INTS11,0.1554236
CPTP,0.13648643
DVL1,0.076732375
MXRA8,0.027340412
AURKAIP1,1.0733491
CCNL2,0.20555037
MRPL20,0.8459876
VWA1,0.1184467
ATAD3A,0.06085662
SSU72,0.5612414
SSU72-AS1,0.0036270262
FNDC10,0.031002942
ENSG00000272106,0.05925376
MIB2,0.13341731
MMP23B,0.0034928755
CDK11B,0.10989397
SLC35E2B,0.013523547
CDK11A,0.03362584
SLC35E2A,0.053051986
NADK,0.07370074
GNB1,0.43808678
GABRD,0.0
PRKCZ,0.08585758
FAAP20,0.45116943
SKI,0.10602098
RER1,0.5410143
PEX10,0.070245765
PANK4,0.04201631
HES5,0.0
ENSG00000272449,0.062120683
TNFRSF14-AS1,0.028428297
TNFRSF14,0.13189751
PRXL2B,0.0612707
MMEL1,0.010012477
PRDM16,0.09040561
ENSG00000272235,0.0
ARHGEF16,0.042908937
MEGF6,0.017012836
TPRG1L,0.1262478
WRAP73,0.04449749
SMIM1,0.19621398
LRRC47,0.09018851
CEP104,0.11198899
DFFB,0.0072972323
C1orf174,0.10350389
NPHP4,0.026026683
KCNAB2,0.036053065
RPL22,1.9513822
ICMT,0.14637262
ACOT7,0.12230023
TNFRSF25,0.012589928
PLEKHG5,0.014958365
NOL9,0.080640025
ZBTB48,0.068850495
KLHL21,0.08108866
PHF13,0.059836246
THAP3,0.056962628
DNAJC11,0.16586086
CAMTA1,0.83098114
VAMP3,0.21480416
PER3,0.09726589
PARK7,1.0332224
ERRFI1,0.39909726
RERE,0.2913457
ENO1,1.3193638
GPR157,0.029826725
MIR34AHG,0.0018607689
H6PD,0.08599407
SPSB1,0.041399766
SLC25A33,0.24102561
PIK3CD,0.020311976
CLSTN1,0.3374392
CTNNBIP1,0.104467504
LZIC,0.14512016
NMNAT1,0.04763825
RBP7,0.11356904
UBE4B,0.078229405
KIF1B,0.14320716
PGD,0.13101964
CENPS,0.043334957
DFFA,0.12984852
PEX14,0.031882036
CASZ1,0.061474215
TARDBP,0.17819472
SRM,0.15869033
EXOSC10,0.050428916
MTOR,0.05450396
UBIAD1,0.06342899
FBXO2,0.128429
FBXO44,0.081047915
FBXO6,0.022255447
MAD2L2,0.10965355
AGTRAP,0.16913609
C1orf167,0.0062231296
MTHFR,0.067603946
CLCN6,0.042469587
KIAA2013,0.13943501
PLOD1,0.061727934
MFN2,0.1949217
MIIP,0.039167028
TNFRSF1B,0.024771728
VPS13D,0.15429533
DHRS3,0.34987432
PDPN,0.0
PRDM2,0.10153843
KAZN,0.11487551
TMEM51,0.1570477
FHAD1,0.0036150662
EFHD2,0.11575043
CASP9,0.06391675
DNAJC16,0.09821963
DDI2,0.07684485
PLEKHM2,0.078433625
SLC25A34,0.016668584
FBLIM1,0.01772236
SPEN-AS1,0.045798395
SPEN,0.19730645
ZBTB17,0.04901265
SRARP,0.03383587
HSPB7,0.025904946
EPHA2,0.15141727
CPLANE2,0.008168853
FBXO42,0.052848242
SZRD1,0.22101432
NECAP2,0.11996662
NBPF1,0.033422034
CROCC,0.023077378
ENSG00000238142,0.08932412
MFAP2,0.0031584832
ATP13A2,0.052409455
SDHB,0.3940036
PADI2,0.02576246
PADI4,0.0
RCC2,0.080996454
ARHGEF10L,0.08103279
IGSF21,0.004618041
ALDH4A1,0.39146787
IFFO2,0.012591636
UBR4,0.2112642
EMC1,0.07769814
MRTO4,0.08152507
AKR7A3,0.22120766
AKR7A2,0.53747654
SLC66A1,0.033843137
CAPZB,0.4765056
MICOS10,1.4627955
NBL1,0.1390251
TMCO4,0.04865439
OTUD3,0.042583406
PLA2G5,0.0
CAMK2N1,0.81757605
MUL1,0.10088054
CDA,0.21011046
